source_id,url,label
L2-F006,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Microcréditos y Apoyo a MiPyMEs'
L2-P031,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Políticas · Personas con Discapacidad'
L2-E169,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Prevención del Delito y Seguridad Ciudadana'
L2-K023,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Infraestructura Urbana'
L2-E026,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Formación de Policías'
L2-E081,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Asistencia Social Integral'
L2-E107,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Zoológicos'
L2-K019,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Construcción y Operación del Sistema Penitenciario'
L2-E159,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Educación y Divulgación Ambiental'
L2-U047,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Concejo Ciudadano'
L2-G013,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Inspección Medioambiental'
L2-U014,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Financiamiento de Proyectos Culturales'
L2-S226,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Beca Leona Vicario'
L2-G073,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Regulación Urbana'
L2-K024,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Infraestructura de Agua Potable'
L2-E193,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Actividades Juveniles'
L2-S036,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Altépetl Bienestar'
L2-F034,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Energía Solar'
L2-U038,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Igualdad y No Discriminación'
L2-S005,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Personas Egresadas del Sistema Penal · Apoyos'
L2-E187,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Servicios Públicos'
L2-S010,https://datos.cdmx.gob.mx/dataset/3a6cba97-adb1-4f35-9df1-984cc3657aca/resource/7fa1da81-531c-477c-93db-7580bc1c7ad0/download/egresos_2024_aprobado.csv,Descargar CSV oficial 2024 y buscar 'Coinversión Inclusión Social'
